country,year,children_per_woman_total_fertility,government_health_spending_per_person_us,life_expectancy_years
Albania,1998,2.33,18.6,74.5
Algeria,1998,2.8,48.7,73.5
Angola,1998,6.73,6.65,49.3
Antigua and Barbuda,1998,2.3,264,74.5
Argentina,1998,2.62,383,73.5
Armenia,1998,1.5,10,71.5
Australia,1998,1.77,1050,78.9
Austria,1998,1.37,2020,77.8
Azerbaijan,1998,2.21,5.04,65.9
Bahamas,1998,2.26,458,71.8
Bahrain,1998,2.86,330,71.7
Bangladesh,1998,3.35,21.2,64.5
Barbados,1998,1.74,347,74.5
Belarus,1998,1.29,68.8,68.3
Belgium,1998,1.61,1480,77.6
Belize,1998,3.81,62.3,69.8
Benin,1998,6.12,7.74,57.2
Bhutan,1998,4,25,65.2
Bolivia,1998,4.27,33.3,65.3
Bosnia and Herzegovina,1998,1.62,40.7,75
Botswana,1998,3.61,71.3,56.6
Brazil,1998,2.43,143,70.6
Brunei,1998,2.49,482,73.4
Bulgaria,1998,1.2,57.8,70.9
Burkina Faso,1998,6.7,4.98,51.4
Burundi,1998,7.13,2.33,44.3
Cambodia,1998,4.15,3.29,59.4
Cameroon,1998,5.72,5.15,55.3
Canada,1998,1.56,1300,78.7
Cape Verde,1998,4.07,47.5,70.8
Central African Republic,1998,5.54,3.4,44.6
Chad,1998,7.41,3.77,52.3
Chile,1998,2.18,163,76
China,1998,1.5,14.8,71.3
Colombia,1998,2.48,172,73.7
Comoros,1998,5.29,8.82,60.3
"Congo, Dem. Rep.",1998,7.06,0.23,53.1
"Congo, Rep.",1998,5.11,14,50.1
Costa Rica,1998,2.56,180,77.2
Cote d'Ivoire,1998,5.85,10.8,51.8
Croatia,1998,1.49,324,73.8
Cuba,1998,1.63,121,76.1
Cyprus,1998,1.86,320,76.5
Czech Republic,1998,1.17,360,74.6
Denmark,1998,1.72,2190,76.6
Djibouti,1998,4.78,26.1,60.3
Dominican Republic,1998,2.97,44.1,73.3
Ecuador,1998,3.16,32.5,73.7
Egypt,1998,3.37,26.3,67.8
El Salvador,1998,3.26,71.6,71.2
Equatorial Guinea,1998,5.91,23.2,52.8
Eritrea,1998,5.55,4.03,53.4
Estonia,1998,1.32,193,69.8
Eswatini,1998,4.39,44.1,52.6
Ethiopia,1998,6.77,1.99,50.6
Fiji,1998,3.17,54,66.3
Finland,1998,1.71,1340,77.4
France,1998,1.77,1970,78.6
Gabon,1998,4.72,54,60
Gambia,1998,5.98,6.97,61.5
Georgia,1998,1.69,8.88,72.6
Germany,1998,1.34,2180,77.8
Ghana,1998,4.97,11.8,59.4
Greece,1998,1.33,549,78.6
Grenada,1998,2.76,106,73.1
Guatemala,1998,4.8,35.4,66.8
Guinea,1998,6.21,4.2,54.3
Guinea-Bissau,1998,6.01,3.82,50.2
Guyana,1998,3.05,39.4,66.3
Haiti,1998,4.55,9.15,56.2
Hungary,1998,1.37,251,70.9
Iceland,1998,2.05,2250,79.4
India,1998,3.45,4.71,62.1
Indonesia,1998,2.54,3.26,66.9
Iran,1998,2.53,65.1,73.1
Ireland,1998,1.93,1090,76.2
Israel,1998,2.92,917,78.2
Italy,1998,1.23,1160,78.8
Jamaica,1998,2.67,103,73.9
Japan,1998,1.35,1790,80.8
Jordan,1998,4.23,89.6,72.1
Kazakhstan,1998,1.98,44.9,65.4
Kenya,1998,5.3,9.47,56
Kiribati,1998,4.17,55.1,59.2
Kuwait,1998,2.9,515,78.8
Kyrgyz Republic,1998,2.88,12,66.2
Lao,1998,4.72,6.96,55.9
Latvia,1998,1.18,104,69.4
Lebanon,1998,2.39,149,74.6
Lesotho,1998,4.3,14.1,52
Libya,1998,3.11,111,73.2
Lithuania,1998,1.44,146,71.7
Luxembourg,1998,1.72,2390,77.3
Madagascar,1998,5.75,4.98,58
Malawi,1998,6.26,3.1,44.4
Malaysia,1998,3.04,56.8,72.7
Maldives,1998,3.4,72.1,70.6
Mali,1998,6.95,5.85,50.8
Malta,1998,1.83,466,78.2
Mauritania,1998,5.58,14.2,62.6
Mauritius,1998,2.04,69.5,71.6
"Micronesia, Fed. Sts.",1998,4.47,132,65.2
Moldova,1998,1.62,17.4,68.6
Mongolia,1998,2.31,15.1,61.2
Montenegro,1998,1.91,73.7,73.8
Morocco,1998,2.93,16.1,68.7
Mozambique,1998,5.85,7.42,50.6
Myanmar,1998,2.95,0.2,57.9
Namibia,1998,4.23,93.4,56.8
Nepal,1998,4.33,2.38,64.3
Netherlands,1998,1.63,1330,78
New Zealand,1998,1.96,866,77.8
Niger,1998,7.7,3.29,50.7
Nigeria,1998,6.16,15.9,55.3
North Macedonia,1998,1.81,120,73.2
Norway,1998,1.81,2590,78.3
Oman,1998,4.3,186,72.2
Pakistan,1998,4.89,3.12,61.5
Panama,1998,2.79,182,76.3
